"train/epoch","progen2_151M_mutSeqs - _step","progen2_151M_mutSeqs - _step__MIN","progen2_151M_mutSeqs - _step__MAX","progen2_151M_mutSeqs - eval/loss","progen2_151M_mutSeqs - eval/loss__MIN","progen2_151M_mutSeqs - eval/loss__MAX","progen2_151M_mutSeqs - train/loss","progen2_151M_mutSeqs - train/loss__MIN","progen2_151M_mutSeqs - train/loss__MAX"
"2.128068303094984","0.5","0","1","0.0518927276134491","0.0518927276134491","0.0518927276134491","0.4236","0.4236","0.4236"
"4.256136606189968","2.5","2","3","0.0374976210296154","0.0374976210296154","0.0374976210296154","0.0452","0.0452","0.0452"
"6.384204909284952","4.5","4","5","0.02982398308813572","0.02982398308813572","0.02982398308813572","0.0319","0.0319","0.0319"
"8.512273212379936","6.5","6","7","0.02812710590660572","0.02812710590660572","0.02812710590660572","0.0281","0.0281","0.0281"
"10.640341515474919","8.5","8","9","0.02712452970445156","0.02712452970445156","0.02712452970445156","0.026","0.026","0.026"
"12.768409818569904","10.5","10","11","0.026651768013834953","0.026651768013834953","0.026651768013834953","0.0252","0.0252","0.0252"
"14.896478121664888","12.5","12","13","0.026425445452332497","0.026425445452332497","0.026425445452332497","0.0243","0.0243","0.0243"
"17.021344717182497","14.5","14","15","0.026043927296996117","0.026043927296996117","0.026043927296996117","0.0235","0.0235","0.0235"
"19.149413020277482","16.5","16","17","0.025784490630030632","0.025784490630030632","0.025784490630030632","0.0229","0.0229","0.0229"
"21.277481323372466","18.5","18","19","0.02556421607732773","0.02556421607732773","0.02556421607732773","0.0226","0.0226","0.0226"
"23.40554962646745","20.5","20","21","0.025368792936205864","0.025368792936205864","0.025368792936205864","0.0222","0.0222","0.0222"
"25.533617929562432","22.5","22","23","0.02551974356174469","0.02551974356174469","0.02551974356174469","0.022","0.022","0.022"
"27.661686232657416","24.5","24","25","0.025344084948301315","0.025344084948301315","0.025344084948301315","0.0216","0.0216","0.0216"
"29.7897545357524","26.5","26","27","0.024892257526516914","0.024892257526516914","0.024892257526516914","0.0214","0.0214","0.0214"
"31.917822838847385","28.5","28","29","0.02490902505815029","0.02490902505815029","0.02490902505815029","0.021","0.021","0.021"
"34.042689434364995","30.5","30","31","0.0247057918459177","0.0247057918459177","0.0247057918459177","0.0208","0.0208","0.0208"
"36.17075773745998","32.5","32","33","0.024678966030478477","0.024678966030478477","0.024678966030478477","0.0205","0.0205","0.0205"
"38.298826040554964","34.5","34","35","0.02489517442882061","0.02489517442882061","0.02489517442882061","0.0204","0.0204","0.0204"
"40.42689434364995","36.5","36","37","0.024819806218147278","0.024819806218147278","0.024819806218147278","0.0202","0.0202","0.0202"
"42.55496264674493","38.5","38","39","0.024597961455583572","0.024597961455583572","0.024597961455583572","0.0201","0.0201","0.0201"
"44.68303094983992","40.5","40","41","0.02448127046227455","0.02448127046227455","0.02448127046227455","0.0198","0.0198","0.0198"
"46.8110992529349","42.5","42","43","0.024503815919160843","0.024503815919160843","0.024503815919160843","0.0197","0.0197","0.0197"
"48.93916755602988","44.5","44","45","0.024392277002334595","0.024392277002334595","0.024392277002334595","0.0195","0.0195","0.0195"
"51.06403415154749","46.5","46","47","0.0244328323751688","0.0244328323751688","0.0244328323751688","0.0193","0.0193","0.0193"
"53.19210245464247","48.5","48","49","0.024533409625291824","0.024533409625291824","0.024533409625291824","0.0192","0.0192","0.0192"
"55.32017075773746","50.5","50","51","0.024618083611130714","0.024618083611130714","0.024618083611130714","0.0191","0.0191","0.0191"
"57.44823906083244","52.5","52","53","0.02442920207977295","0.02442920207977295","0.02442920207977295","0.019","0.019","0.019"
"59.57630736392743","54.5","54","55","0.02450954169034958","0.02450954169034958","0.02450954169034958","0.0188","0.0188","0.0188"
"61.70437566702241","56.5","56","57","0.024532867595553398","0.024532867595553398","0.024532867595553398","0.0187","0.0187","0.0187"
"63.832443970117396","58.5","58","59","0.02452116832137108","0.02452116832137108","0.02452116832137108","0.0186","0.0186","0.0186"
"65.96051227321237","60.5","60","61","0.02448032610118389","0.02448032610118389","0.02448032610118389","0.0185","0.0185","0.0185"
"68.08537886872999","62.5","62","63","0.024643251672387123","0.024643251672387123","0.024643251672387123","0.0183","0.0183","0.0183"
"70.21344717182497","64.5","64","65","0.024583391845226288","0.024583391845226288","0.024583391845226288","0.0182","0.0182","0.0182"
"72.34151547491996","66.5","66","67","0.02460140362381935","0.02460140362381935","0.02460140362381935","0.0181","0.0181","0.0181"
"74.46958377801494","68.5","68","69","0.0246273260563612","0.0246273260563612","0.0246273260563612","0.0181","0.0181","0.0181"
"76.59765208110993","70.5","70","71","0.024626074358820915","0.024626074358820915","0.024626074358820915","0.0179","0.0179","0.0179"
"78.7257203842049","72.5","72","73","0.024635428562760353","0.024635428562760353","0.024635428562760353","0.0179","0.0179","0.0179"
"80.8537886872999","74.5","74","75","0.02467356249690056","0.02467356249690056","0.02467356249690056","0.0178","0.0178","0.0178"
"82.98185699039487","76.5","76","77","0.024653511121869087","0.024653511121869087","0.024653511121869087","0.0178","0.0178","0.0178"
"85.10672358591249","78.5","78","79","0.024705393239855766","0.024705393239855766","0.024705393239855766","0.0176","0.0176","0.0176"
"87.23479188900747","80.5","80","81","0.024688828736543655","0.024688828736543655","0.024688828736543655","0.0176","0.0176","0.0176"
"89.36286019210246","82.5","82","83","0.024720460176467896","0.024720460176467896","0.024720460176467896","0.0175","0.0175","0.0175"
"91.49092849519744","84.5","84","85","0.024700187146663666","0.024700187146663666","0.024700187146663666","0.0175","0.0175","0.0175"
"93.61899679829243","86.5","86","87","0.02472953498363495","0.02472953498363495","0.02472953498363495","0.0174","0.0174","0.0174"
"95.7470651013874","88.5","88","89","0.024724697694182396","0.024724697694182396","0.024724697694182396","0.0174","0.0174","0.0174"
"97.8751334044824","90.5","90","91","0.024727117270231247","0.024727117270231247","0.024727117270231247","0.0174","0.0174","0.0174"
"99.57630736392743","93","93","93","0.024392277002334595","0.024392277002334595","0.024392277002334595","","",""