"train/epoch","esm2_150m_mutSeqs - _step","esm2_150m_mutSeqs - _step__MIN","esm2_150m_mutSeqs - _step__MAX","esm2_150m_mutSeqs - eval/loss","esm2_150m_mutSeqs - eval/loss__MIN","esm2_150m_mutSeqs - eval/loss__MAX","esm2_150m_mutSeqs - train/loss","esm2_150m_mutSeqs - train/loss__MIN","esm2_150m_mutSeqs - train/loss__MAX"
"2.128068303094984","0.5","0","1","0.057240989059209824","0.057240989059209824","0.057240989059209824","0.7036","0.7036","0.7036"
"4.256136606189968","2.5","2","3","0.03534835949540138","0.03534835949540138","0.03534835949540138","0.0444","0.0444","0.0444"
"6.384204909284952","4.5","4","5","0.029573559761047363","0.029573559761047363","0.029573559761047363","0.0324","0.0324","0.0324"
"8.512273212379936","6.5","6","7","0.02819042280316353","0.02819042280316353","0.02819042280316353","0.0296","0.0296","0.0296"
"10.640341515474919","8.5","8","9","0.02619115635752678","0.02619115635752678","0.02619115635752678","0.0275","0.0275","0.0275"
"12.768409818569904","10.5","10","11","0.026380416005849838","0.026380416005849838","0.026380416005849838","0.0256","0.0256","0.0256"
"14.896478121664888","12.5","12","13","0.025637134909629822","0.025637134909629822","0.025637134909629822","0.0254","0.0254","0.0254"
"17.021344717182497","14.5","14","15","0.023390261456370354","0.023390261456370354","0.023390261456370354","0.0237","0.0237","0.0237"
"19.149413020277482","16.5","16","17","0.024615176022052765","0.024615176022052765","0.024615176022052765","0.0235","0.0235","0.0235"
"21.277481323372466","18.5","18","19","0.02323981560766697","0.02323981560766697","0.02323981560766697","0.0233","0.0233","0.0233"
"23.40554962646745","20.5","20","21","0.02526099793612957","0.02526099793612957","0.02526099793612957","0.0227","0.0227","0.0227"
"25.533617929562432","22.5","22","23","0.02344139665365219","0.02344139665365219","0.02344139665365219","0.0223","0.0223","0.0223"
"27.661686232657416","24.5","24","25","0.022845162078738213","0.022845162078738213","0.022845162078738213","0.0219","0.0219","0.0219"
"29.7897545357524","26.5","26","27","0.02275082841515541","0.02275082841515541","0.02275082841515541","0.0216","0.0216","0.0216"
"31.917822838847385","28.5","28","29","0.022895926609635353","0.022895926609635353","0.022895926609635353","0.0209","0.0209","0.0209"
"34.042689434364995","30.5","30","31","0.023005414754152298","0.023005414754152298","0.023005414754152298","0.0212","0.0212","0.0212"
"36.17075773745998","32.5","32","33","0.02116720750927925","0.02116720750927925","0.02116720750927925","0.0208","0.0208","0.0208"
"38.298826040554964","34.5","34","35","0.02124660275876522","0.02124660275876522","0.02124660275876522","0.02","0.02","0.02"
"40.42689434364995","36.5","36","37","0.02118150144815445","0.02118150144815445","0.02118150144815445","0.0201","0.0201","0.0201"
"42.55496264674493","38.5","38","39","0.021098515018820763","0.021098515018820763","0.021098515018820763","0.0197","0.0197","0.0197"
"44.68303094983992","40.5","40","41","0.02024248242378235","0.02024248242378235","0.02024248242378235","0.0193","0.0193","0.0193"
"46.8110992529349","42.5","42","43","0.020594121888279915","0.020594121888279915","0.020594121888279915","0.0197","0.0197","0.0197"
"48.93916755602988","44.5","44","45","0.022273655980825424","0.022273655980825424","0.022273655980825424","0.0192","0.0192","0.0192"
"51.06403415154749","46.5","46","47","0.021318046376109123","0.021318046376109123","0.021318046376109123","0.0191","0.0191","0.0191"
"53.19210245464247","48.5","48","49","0.019851766526699066","0.019851766526699066","0.019851766526699066","0.0186","0.0186","0.0186"
"55.32017075773746","50.5","50","51","0.02155342325568199","0.02155342325568199","0.02155342325568199","0.0185","0.0185","0.0185"
"57.44823906083244","52.5","52","53","0.02075582556426525","0.02075582556426525","0.02075582556426525","0.0185","0.0185","0.0185"
"59.57630736392743","54.5","54","55","0.022001463919878006","0.022001463919878006","0.022001463919878006","0.0181","0.0181","0.0181"
"61.70437566702241","56.5","56","57","0.02165078930556774","0.02165078930556774","0.02165078930556774","0.0183","0.0183","0.0183"
"63.832443970117396","58.5","58","59","0.021617606282234192","0.021617606282234192","0.021617606282234192","0.0173","0.0173","0.0173"
"65.96051227321237","60.5","60","61","0.01991790346801281","0.01991790346801281","0.01991790346801281","0.0176","0.0176","0.0176"
"68.08537886872999","62.5","62","63","0.020521927624940872","0.020521927624940872","0.020521927624940872","0.0176","0.0176","0.0176"
"70.21344717182497","64.5","64","65","0.020753497257828712","0.020753497257828712","0.020753497257828712","0.0172","0.0172","0.0172"
"72.34151547491996","66.5","66","67","0.02035517804324627","0.02035517804324627","0.02035517804324627","0.0173","0.0173","0.0173"
"74.46958377801494","68.5","68","69","0.01964806765317917","0.01964806765317917","0.01964806765317917","0.017","0.017","0.017"
"76.59765208110993","70.5","70","71","0.019677085801959038","0.019677085801959038","0.019677085801959038","0.0171","0.0171","0.0171"
"78.7257203842049","72.5","72","73","0.019417714327573776","0.019417714327573776","0.019417714327573776","0.0169","0.0169","0.0169"
"80.8537886872999","74.5","74","75","0.018864508718252182","0.018864508718252182","0.018864508718252182","0.0167","0.0167","0.0167"
"82.98185699039487","76.5","76","77","0.0197929497808218","0.0197929497808218","0.0197929497808218","0.017","0.017","0.017"
"85.10672358591249","78.5","78","79","0.019580019637942314","0.019580019637942314","0.019580019637942314","0.017","0.017","0.017"
"87.23479188900747","80.5","80","81","0.021579008549451828","0.021579008549451828","0.021579008549451828","0.0168","0.0168","0.0168"
"89.36286019210246","82.5","82","83","0.01991902105510235","0.01991902105510235","0.01991902105510235","0.0168","0.0168","0.0168"
"91.49092849519744","84.5","84","85","0.019509706646203995","0.019509706646203995","0.019509706646203995","0.0165","0.0165","0.0165"
"93.61899679829243","86.5","86","87","0.019510963931679726","0.019510963931679726","0.019510963931679726","0.0165","0.0165","0.0165"
"95.7470651013874","88.5","88","89","0.020705517381429672","0.020705517381429672","0.020705517381429672","0.0163","0.0163","0.0163"
"97.8751334044824","90.5","90","91","0.01952798292040825","0.01952798292040825","0.01952798292040825","0.0169","0.0169","0.0169"
"99.57630736392743","93","93","93","0.019546927884221077","0.019546927884221077","0.019546927884221077","","",""